id,postcode,suburb,latitude,longitude,solarstation,solarname,solardistance,solarwet,solardry,solarmean,rainstation,rainname,raindistance,rainwet,raindry,rainmean,tempstation,tempname,tempdistance,tempmaxwet,tempmaxdry,tempmaxmean,tempminwet,tempmindry,tempminmean
1,800,Darwin,-12.459,130.847,14167,Stokes Hill,0.35,5.556,6.126,5.841,14167,Stokes Hill,0.35,276.547,20.386,148.467,14015,Darwin Airport,6.44,32.676,32.318,32.500,24.978,21.350,23.196
2,801,Darwin,-12.459,130.847,14167,Stokes Hill,0.35,5.556,6.126,5.841,14167,Stokes Hill,0.35,276.547,20.386,148.467,14015,Darwin Airport,6.44,32.676,32.318,32.500,24.978,21.350,23.196
3,804,Parap,-12.459,130.834,14170,Larrakeyah,0.46,5.556,6.126,5.841,14170,Larrakeyah,0.46,242.705,13.206,140.706,14015,Darwin Airport,7.57,32.676,32.318,32.500,24.978,21.350,23.196
4,810,Alawa,-12.380,130.856,14112,Nightcliff Pool,0.67,5.567,6.078,5.822,14112,Nightcliff Pool,0.67,240.400,16.054,135.875,14015,Darwin Airport,5.83,32.676,32.318,32.500,24.978,21.350,23.196
5,810,Brinkin,-12.369,130.859,14289,Charles Darwin University,1.23,5.567,6.078,5.822,14289,Charles Darwin University,1.23,176.067,24.758,85.282,14015,Darwin Airport,6.62,32.676,32.318,32.500,24.978,21.350,23.196
6,810,Casuarina,-12.374,130.873,14289,Charles Darwin University,0.56,5.567,6.078,5.822,14289,Charles Darwin University,0.56,176.067,24.758,85.282,14015,Darwin Airport,5.44,32.676,32.318,32.500,24.978,21.350,23.196
7,810,Coconut Grove,-12.395,130.842,14112,Nightcliff Pool,1.89,5.567,6.078,5.822,14112,Nightcliff Pool,1.89,240.400,16.054,135.875,14015,Darwin Airport,6.01,32.676,32.318,32.500,24.978,21.350,23.196
8,810,Jingili,-12.389,130.863,14112,Nightcliff Pool,1.76,5.567,6.078,5.822,14112,Nightcliff Pool,1.76,240.400,16.054,135.875,14015,Darwin Airport,4.56,32.676,32.318,32.500,24.978,21.350,23.196
9,810,Lee Point,-12.341,130.874,14285,Darwin Hospital,2.04,5.567,6.078,5.822,14285,Darwin Hospital,2.04,257.091,26.717,150.048,14015,Darwin Airport,8.95,32.676,32.318,32.500,24.978,21.350,23.196
10,810,Lyons,-12.380,130.880,14289,Charles Darwin University,1.57,5.567,6.078,5.822,14289,Charles Darwin University,1.57,176.067,24.758,85.282,14015,Darwin Airport,4.58,32.676,32.318,32.500,24.978,21.350,23.196
11,810,Millner,-12.392,130.855,14112,Nightcliff Pool,1.44,5.567,6.078,5.822,14112,Nightcliff Pool,1.44,240.400,16.054,135.875,14015,Darwin Airport,4.98,32.676,32.318,32.500,24.978,21.350,23.196
12,810,Moil,-12.388,130.873,14144,Marrara,1.54,5.567,6.078,5.822,14144,Marrara,1.54,283.496,20.623,155.677,14015,Darwin Airport,4.02,32.676,32.318,32.500,24.978,21.350,23.196
13,810,Muirhead,-12.380,130.880,14289,Charles Darwin University,1.57,5.567,6.078,5.822,14289,Charles Darwin University,1.57,176.067,24.758,85.282,14015,Darwin Airport,4.58,32.676,32.318,32.500,24.978,21.350,23.196
14,810,Nakara,-12.371,130.869,14289,Charles Darwin University,0.16,5.567,6.078,5.822,14289,Charles Darwin University,0.16,176.067,24.758,85.282,14015,Darwin Airport,5.92,32.676,32.318,32.500,24.978,21.350,23.196
15,810,Nightcliff,-12.383,130.840,14112,Nightcliff Pool,1.16,5.567,6.078,5.822,14112,Nightcliff Pool,1.16,240.400,16.054,135.875,14015,Darwin Airport,6.90,32.676,32.318,32.500,24.978,21.350,23.196
16,810,Rapid Creek,-12.381,130.840,14112,Nightcliff Pool,1.12,5.567,6.078,5.822,14112,Nightcliff Pool,1.12,240.400,16.054,135.875,14015,Darwin Airport,7.04,32.676,32.318,32.500,24.978,21.350,23.196
17,810,Tiwi,-12.359,130.859,14289,Charles Darwin University,1.73,5.567,6.078,5.822,14289,Charles Darwin University,1.73,176.067,24.758,85.282,14015,Darwin Airport,7.60,32.676,32.318,32.500,24.978,21.350,23.196
18,810,Wagaman,-12.381,130.876,14289,Charles Darwin University,1.39,5.567,6.078,5.822,14289,Charles Darwin University,1.39,176.067,24.758,85.282,14015,Darwin Airport,4.60,32.676,32.318,32.500,24.978,21.350,23.196
19,810,Wanguri,-12.372,130.879,14289,Charles Darwin University,1.02,5.567,6.078,5.822,14289,Charles Darwin University,1.02,176.067,24.758,85.282,14015,Darwin Airport,5.47,32.676,32.318,32.500,24.978,21.350,23.196
20,811,Casuarina,-12.372,130.879,14289,Charles Darwin University,1.02,5.567,6.078,5.822,14289,Charles Darwin University,1.02,176.067,24.758,85.282,14015,Darwin Airport,5.47,32.676,32.318,32.500,24.978,21.350,23.196
21,812,Anula,-12.390,130.882,14144,Marrara,1.13,5.567,6.078,5.822,14144,Marrara,1.13,283.496,20.623,155.677,14015,Darwin Airport,3.45,32.676,32.318,32.500,24.978,21.350,23.196
22,812,Buffalo Creek,-12.400,130.910,14235,Northlakes,1.11,5.567,6.078,5.822,14235,Northlakes,1.11,294.449,19.242,165.820,14015,Darwin Airport,3.14,32.676,32.318,32.500,24.978,21.350,23.196
23,812,Holmes,-12.400,130.910,14235,Northlakes,1.11,5.567,6.078,5.822,14235,Northlakes,1.11,294.449,19.242,165.820,14015,Darwin Airport,3.14,32.676,32.318,32.500,24.978,21.350,23.196
24,812,Karama,-12.400,130.907,14235,Northlakes,0.78,5.567,6.078,5.822,14235,Northlakes,0.78,294.449,19.242,165.820,14015,Darwin Airport,2.91,32.676,32.318,32.500,24.978,21.350,23.196
25,812,Leanyer,-12.371,130.886,14289,Charles Darwin University,1.78,5.567,6.078,5.822,14289,Charles Darwin University,1.78,176.067,24.758,85.282,14015,Darwin Airport,5.46,32.676,32.318,32.500,24.978,21.350,23.196
26,812,Malak,-12.393,130.895,14235,Northlakes,0.95,5.567,6.078,5.822,14235,Northlakes,0.95,294.449,19.242,165.820,14015,Darwin Airport,3.05,32.676,32.318,32.500,24.978,21.350,23.196
27,812,Marrara,-12.404,130.860,14144,Marrara,2.26,5.567,6.078,5.822,14144,Marrara,2.26,283.496,20.623,155.677,14015,Darwin Airport,3.77,32.676,32.318,32.500,24.978,21.350,23.196
28,812,Northlakes,-12.396,130.893,14235,Northlakes,0.89,5.567,6.078,5.822,14235,Northlakes,0.89,294.449,19.242,165.820,14015,Darwin Airport,2.68,32.676,32.318,32.500,24.978,21.350,23.196
29,812,Sanderson,-12.396,130.887,14144,Marrara,0.89,5.567,6.078,5.822,14144,Marrara,0.89,283.496,20.623,155.677,14015,Darwin Airport,2.68,32.676,32.318,32.500,24.978,21.350,23.196
30,812,Woodleigh Gardens,-12.377,130.896,14246,Leanyer,1.59,5.567,6.078,5.822,14246,Leanyer,1.59,265.118,21.830,142.397,14015,Darwin Airport,4.82,32.676,32.318,32.500,24.978,21.350,23.196
31,812,Wulagi,-12.383,130.887,14144,Marrara,2.04,5.567,6.078,5.822,14144,Marrara,2.04,283.496,20.623,155.677,14015,Darwin Airport,4.12,32.676,32.318,32.500,24.978,21.350,23.196
32,813,Sanderson,-12.383,130.756,14238,Wagait Beach,5.26,5.594,6.172,5.883,14238,Wagait Beach,5.26,285.921,22.450,162.251,14015,Darwin Airport,15.43,32.676,32.318,32.500,24.978,21.350,23.196
33,814,Nightcliff,-12.383,130.852,14112,Nightcliff Pool,0.40,5.567,6.078,5.822,14112,Nightcliff Pool,0.40,240.400,16.054,135.875,14015,Darwin Airport,5.89,32.676,32.318,32.500,24.978,21.350,23.196
34,815,Charles Darwin University,-12.372,130.867,14289,Charles Darwin University,0.40,5.567,6.078,5.822,14289,Charles Darwin University,0.40,176.067,24.758,85.282,14015,Darwin Airport,5.91,32.676,32.318,32.500,24.978,21.350,23.196
35,820,Bagot,-12.415,130.852,14163,Darwin Botanic Gardens,3.08,5.556,6.126,5.841,14163,Darwin Botanic Gardens,3.08,292.248,25.738,171.564,14015,Darwin Airport,4.25,32.676,32.318,32.500,24.978,21.350,23.196
36,820,Bayview,-12.438,130.849,14163,Darwin Botanic Gardens,1.02,5.556,6.126,5.841,14163,Darwin Botanic Gardens,1.02,292.248,25.738,171.564,14015,Darwin Airport,4.97,32.676,32.318,32.500,24.978,21.350,23.196
37,820,Charles Darwin,-12.449,130.841,14163,Darwin Botanic Gardens,1.01,5.556,6.126,5.841,14163,Darwin Botanic Gardens,1.01,292.248,25.738,171.564,14015,Darwin Airport,6.32,32.676,32.318,32.500,24.978,21.350,23.196
38,820,Coonawarra,-12.434,130.890,14015,Darwin Airport,1.55,5.567,6.078,5.822,14015,Darwin Airport,1.55,288.390,18.432,154.584,14015,Darwin Airport,1.55,32.676,32.318,32.500,24.978,21.350,23.196
39,820,Cullen Bay,-12.451,130.821,14170,Larrakeyah,1.41,5.556,6.126,5.841,14170,Larrakeyah,1.41,242.705,13.206,140.706,14015,Darwin Airport,8.40,32.676,32.318,32.500,24.978,21.350,23.196
40,820,Darwin DC,-12.410,130.860,14144,Marrara,2.48,5.567,6.078,5.822,14144,Marrara,2.48,283.496,20.623,155.677,14015,Darwin Airport,3.51,32.676,32.318,32.500,24.978,21.350,23.196
41,820,Darwin International Airport,-12.411,130.875,14144,Marrara,1.34,5.567,6.078,5.822,14144,Marrara,1.34,283.496,20.623,155.677,14015,Darwin Airport,1.94,32.676,32.318,32.500,24.978,21.350,23.196
42,820,Darwin MC,-12.430,130.795,14238,Wagait Beach,5.00,5.594,6.172,5.883,14238,Wagait Beach,5.00,285.921,22.450,162.251,14015,Darwin Airport,10.60,32.676,32.318,32.500,24.978,21.350,23.196
43,820,East Point,-12.415,130.829,14163,Darwin Botanic Gardens,3.03,5.556,6.126,5.841,14163,Darwin Botanic Gardens,3.03,292.248,25.738,171.564,14015,Darwin Airport,6.79,32.676,32.318,32.500,24.978,21.350,23.196
44,820,Eaton,-12.410,130.860,14144,Marrara,2.48,5.567,6.078,5.822,14144,Marrara,2.48,283.496,20.623,155.677,14015,Darwin Airport,3.51,32.676,32.318,32.500,24.978,21.350,23.196
45,820,Fannie Bay,-12.428,130.823,14163,Darwin Botanic Gardens,2.31,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.31,292.248,25.738,171.564,14015,Darwin Airport,7.49,32.676,32.318,32.500,24.978,21.350,23.196
46,820,Larrakeyah,-12.455,130.808,14170,Larrakeyah,2.50,5.556,6.126,5.841,14170,Larrakeyah,2.50,242.705,13.206,140.706,14015,Darwin Airport,9.90,32.676,32.318,32.500,24.978,21.350,23.196
47,820,Ludmilla,-12.417,130.829,14163,Darwin Botanic Gardens,2.83,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.83,292.248,25.738,171.564,14015,Darwin Airport,6.78,32.676,32.318,32.500,24.978,21.350,23.196
48,820,Parap,-12.434,130.837,14163,Darwin Botanic Gardens,0.74,5.556,6.126,5.841,14163,Darwin Botanic Gardens,0.74,292.248,25.738,171.564,14015,Darwin Airport,6.08,32.676,32.318,32.500,24.978,21.350,23.196
49,820,Raaf Base Darwin,-12.418,130.845,14163,Darwin Botanic Gardens,2.50,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.50,292.248,25.738,171.564,14015,Darwin Airport,5.00,32.676,32.318,32.500,24.978,21.350,23.196
50,820,Stuart Park,-12.446,130.837,14163,Darwin Botanic Gardens,0.74,5.556,6.126,5.841,14163,Darwin Botanic Gardens,0.74,292.248,25.738,171.564,14015,Darwin Airport,6.55,32.676,32.318,32.500,24.978,21.350,23.196
51,820,The Gardens,-12.446,130.825,14170,Larrakeyah,1.65,5.556,6.126,5.841,14170,Larrakeyah,1.65,242.705,13.206,140.706,14015,Darwin Airport,7.77,32.676,32.318,32.500,24.978,21.350,23.196
52,820,The Narrows,-12.427,130.856,14163,Darwin Botanic Gardens,2.29,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.29,292.248,25.738,171.564,14015,Darwin Airport,3.85,32.676,32.318,32.500,24.978,21.350,23.196
53,820,Winnellie,-12.429,130.849,14163,Darwin Botanic Gardens,1.58,5.556,6.126,5.841,14163,Darwin Botanic Gardens,1.58,292.248,25.738,171.564,14015,Darwin Airport,4.66,32.676,32.318,32.500,24.978,21.350,23.196
54,820,Woolner,-12.435,130.834,14163,Darwin Botanic Gardens,0.87,5.556,6.126,5.841,14163,Darwin Botanic Gardens,0.87,292.248,25.738,171.564,14015,Darwin Airport,6.44,32.676,32.318,32.500,24.978,21.350,23.196
55,821,Winnellie,-12.429,130.858,14163,Darwin Botanic Gardens,2.34,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.34,292.248,25.738,171.564,14015,Darwin Airport,3.69,32.676,32.318,32.500,24.978,21.350,23.196
56,822,Acacia Hills,-12.770,131.081,14143,Majestic Orchids,4.79,5.605,6.058,5.832,14143,Majestic Orchids,4.79,283.448,23.155,159.164,14272,Batchelor Airport,31.59,33.584,33.730,33.656,23.498,18.886,21.232
57,822,Angurugu,-13.980,136.453,14518,Groote Eylandt Airport,1.35,5.777,5.830,5.804,14518,Groote Eylandt Airport,1.35,210.855,15.354,113.955,14518,Groote Eylandt Airport,1.35,33.455,30.798,32.150,24.128,17.723,20.982
58,822,Anindilyakwa,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
59,822,Annie River,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
60,822,Bathurst Island,-11.573,129.770,14142,Pirlangimpi Airport,74.66,5.234,5.950,5.592,14142,Pirlangimpi Airport,74.66,300.948,18.919,161.160,14142,Pirlangimpi Airport,74.66,33.050,33.000,33.026,24.528,20.860,22.742
61,822,Bees Creek,-12.580,131.020,14226,Humpty Doo Collard Road,6.66,5.569,6.064,5.817,14226,Humpty Doo Collard Road,6.66,287.624,24.994,167.354,14015,Darwin Airport,22.88,32.676,32.318,32.500,24.978,21.350,23.196
62,822,Belyuen,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
63,822,Black Jungle,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
64,822,Blackmore,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
65,822,Border Store,-12.424,132.961,14153,Black Point,168.23,5.658,6.297,5.977,14198,Jabiru Airport,27.36,260.586,15.443,140.165,14198,Jabiru Airport,27.36,34.898,34.523,34.714,24.783,21.159,23.003
66,822,Burrundie,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
67,822,Bynoe,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
68,822,Bynoe Harbour,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
69,822,Camp Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
70,822,Channel Island,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
71,822,Charles Darwin,-12.449,130.859,14167,Stokes Hill,1.58,5.556,6.126,5.841,14167,Stokes Hill,1.58,276.547,20.386,148.467,14015,Darwin Airport,4.71,32.676,32.318,32.500,24.978,21.350,23.196
72,822,Charlotte,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
73,822,Claravale,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
74,822,Cobourg,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
75,822,Collett Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
76,822,Coomalie Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
77,822,Cox Peninsula,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
78,822,Croker Island,-11.163,132.406,14153,Black Point,29.56,5.658,6.297,5.977,14198,Jabiru Airport,174.64,260.586,15.443,140.165,14153,Black Point,29.56,32.159,31.236,31.705,25.661,22.539,24.114
79,822,Daly,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
80,822,Daly River,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
81,822,Darwin MC,-12.426,130.863,14163,Darwin Botanic Gardens,2.99,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.99,292.248,25.738,171.564,14015,Darwin Airport,3.07,32.676,32.318,32.500,24.978,21.350,23.196
82,822,Darwin River Dam,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
83,822,Delissaville,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
84,822,Douglas-Daly,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
85,822,East Arm,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
86,822,East Arnhem,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
87,822,Elrundie,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
88,822,Eva Valley,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
89,822,Finniss Valley,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
90,822,Fleming,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
91,822,Fly Creek,-12.797,131.034,14143,Majestic Orchids,1.81,5.605,6.058,5.832,14143,Majestic Orchids,1.81,283.448,23.155,159.164,14272,Batchelor Airport,28.09,33.584,33.730,33.656,23.498,18.886,21.232
92,822,Freds Pass,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
93,822,Galiwinku,-12.011,135.517,14517,Ngayawili,6.01,5.708,6.078,5.893,14517,Ngayawili,6.01,208.652,9.265,109.825,14517,Ngayawili,6.01,32.191,30.955,31.584,25.088,20.962,23.080
94,822,Glyde Point,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
95,822,Goulburn Island,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
96,822,Gunbalanya,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
97,822,Gunn Point,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
98,822,Hayes Creek,-13.673,131.326,14073,Hayes Creek,18.11,5.911,6.052,5.982,14073,Hayes Creek,18.11,137.933,8.173,53.971,14901,Douglas River,23.06,34.672,34.307,34.493,23.300,16.673,20.045
99,822,Hidden Valley,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
100,822,Hotham,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
101,822,Hughes,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
